,params,distance,image_result
53,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5327,./output/Posibility: 53 | Effort: 5327.png
116,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5327,./output/Posibility: 116 | Effort: 5327.png
78,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5349,./output/Posibility: 78 | Effort: 5349.png
86,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5349,./output/Posibility: 86 | Effort: 5349.png
108,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5357,./output/Posibility: 108 | Effort: 5357.png
38,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5361,./output/Posibility: 38 | Effort: 5361.png
117,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5361,./output/Posibility: 117 | Effort: 5361.png
143,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5365,./output/Posibility: 143 | Effort: 5365.png
134,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5366,./output/Posibility: 134 | Effort: 5366.png
45,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5366,./output/Posibility: 45 | Effort: 5366.png
23,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5370,./output/Posibility: 23 | Effort: 5370.png
118,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5388,./output/Posibility: 118 | Effort: 5388.png
93,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5393,./output/Posibility: 93 | Effort: 5393.png
76,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5393,./output/Posibility: 76 | Effort: 5393.png
21,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5398,./output/Posibility: 21 | Effort: 5398.png
69,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5401,./output/Posibility: 69 | Effort: 5401.png
141,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5401,./output/Posibility: 141 | Effort: 5401.png
61,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5404,./output/Posibility: 61 | Effort: 5404.png
22,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5407,./output/Posibility: 22 | Effort: 5407.png
44,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5407,./output/Posibility: 44 | Effort: 5407.png
5,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5409,./output/Posibility: 5 | Effort: 5409.png
60,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5411,./output/Posibility: 60 | Effort: 5411.png
62,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5411,./output/Posibility: 62 | Effort: 5411.png
70,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5417,./output/Posibility: 70 | Effort: 5417.png
95,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5417,./output/Posibility: 95 | Effort: 5417.png
132,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5418,./output/Posibility: 132 | Effort: 5418.png
14,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5428,./output/Posibility: 14 | Effort: 5428.png
85,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5430,./output/Posibility: 85 | Effort: 5430.png
84,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5430,./output/Posibility: 84 | Effort: 5430.png
36,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5430,./output/Posibility: 36 | Effort: 5430.png
119,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5432,./output/Posibility: 119 | Effort: 5432.png
140,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5437,./output/Posibility: 140 | Effort: 5437.png
68,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5439,./output/Posibility: 68 | Effort: 5439.png
124,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5441,./output/Posibility: 124 | Effort: 5441.png
28,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5446,./output/Posibility: 28 | Effort: 5446.png
30,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5450,./output/Posibility: 30 | Effort: 5450.png
37,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5464,./output/Posibility: 37 | Effort: 5464.png
111,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5464,./output/Posibility: 111 | Effort: 5464.png
7,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5466,./output/Posibility: 7 | Effort: 5466.png
92,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5471,./output/Posibility: 92 | Effort: 5471.png
